GRAM_PH_CHANGE	theme	GRAM_PHONOLOGY	음운의 변동
LIT_CL_HERO	theme	LIT_CLASSIC_PROSE	영웅 서사
LIT_CP_NATURE_FRIEND	theme	LIT_CLASSIC_POETRY	자연 친화/풍류
LIT_DR_FAMILY	theme	LIT_DRAMA	가족/세대
LIT_ES_NATURE	theme	LIT_ESSAY	자연/계절
LIT_MN_COLONIAL	theme	LIT_MODERN_NOVEL	일제 강점/식민지 현실
LIT_MP_NATURE	theme	LIT_MODERN_POETRY	자연/생명
MEDIA_T_ENV	theme	MEDIA	환경·기후
READ_ART_MUS_CLASSIC	theme	READ_ART	클래식
READ_HUM_E_HUNDRED	theme	READ_HUMANITIES	제자백가
READ_SCI_PHY_MECH	theme	READ_SCIENCE	역학
READ_SOC_ECON_MICRO	theme	READ_SOCIETY	미시경제
READ_TECH_ICT_AI	theme	READ_TECH	AI·머신러닝
SPEAK_T_ENV	theme	SPEAK	환경·기후
WRITE_T_ENV	theme	WRITE	환경·기후
GRAM_PH_SYSTEM	theme	GRAM_PHONOLOGY	음운의 체계
LIT_CL_SATIRE	theme	LIT_CLASSIC_PROSE	풍자/세태 비판
LIT_CP_LOVE_LONGING	theme	LIT_CLASSIC_POETRY	임에 대한 사랑/그리움
LIT_DR_SOCIETY	theme	LIT_DRAMA	사회 부조리
LIT_ES_INSIGHT	theme	LIT_ESSAY	일상의 깨달음
LIT_MN_DIVISION	theme	LIT_MODERN_NOVEL	분단/이산가족
LIT_MP_LOVE	theme	LIT_MODERN_POETRY	사랑/이별
MEDIA_T_EDU	theme	MEDIA	교육·학습
READ_ART_MUS_POP	theme	READ_ART	대중음악
READ_HUM_E_CONFUCIAN	theme	READ_HUMANITIES	유학 (공·맹·순)
READ_SCI_PHY_EM	theme	READ_SCIENCE	전자기·광학
READ_SOC_ECON_MACRO	theme	READ_SOCIETY	거시경제
READ_TECH_ICT_NET	theme	READ_TECH	네트워크
SPEAK_T_EDU	theme	SPEAK	교육·학습
WRITE_T_EDU	theme	WRITE	교육·학습
GRAM_PH_PRONUNCIATION	theme	GRAM_PHONOLOGY	발음/표준 발음법
LIT_CL_BIOGRAPHY	theme	LIT_CLASSIC_PROSE	가전/전
LIT_CP_LOYALTY	theme	LIT_CLASSIC_POETRY	충/효
LIT_DR_HISTORY	theme	LIT_DRAMA	역사/시대
LIT_ES_LIFE	theme	LIT_ESSAY	인생/노년
LIT_MN_MODERNIZATION	theme	LIT_MODERN_NOVEL	근대화/도시화
LIT_MP_LONGING	theme	LIT_MODERN_POETRY	그리움/향수
MEDIA_T_TECH	theme	MEDIA	기술·AI·과학
READ_ART_MUS_KOREAN	theme	READ_ART	국악
READ_HUM_E_NEOCONFUCIAN	theme	READ_HUMANITIES	성리학 (주자학·이기론)
READ_SCI_PHY_QUANTUM	theme	READ_SCIENCE	양자·상대성
READ_SOC_ECON_MONEY	theme	READ_SOCIETY	화폐·금융·자본시장
READ_TECH_ICT_SEC	theme	READ_TECH	정보보안
SPEAK_T_TECH	theme	SPEAK	기술·AI·과학
WRITE_T_TECH	theme	WRITE	기술·AI·과학
GRAM_PH_HISTORY	theme	GRAM_PHONOLOGY	음운사
LIT_CL_TALE	theme	LIT_CLASSIC_PROSE	전기/설화
LIT_CP_REMINISCENCE	theme	LIT_CLASSIC_POETRY	회고/우국
LIT_DR_RELATION	theme	LIT_DRAMA	인간 관계/소통
LIT_ES_FAMILY	theme	LIT_ESSAY	가족/추억
LIT_MN_FAMILY	theme	LIT_MODERN_NOVEL	가족/세대 갈등
LIT_MP_LIFE	theme	LIT_MODERN_POETRY	일상/삶의 성찰
MEDIA_T_SOCIAL	theme	MEDIA	사회 이슈·시사
READ_ART_MUS_THEORY	theme	READ_ART	음악사·이론
READ_HUM_E_YANGMING	theme	READ_HUMANITIES	양명학
READ_SCI_PHY_THERMO	theme	READ_SCIENCE	열역학
READ_SOC_ECON_INTL	theme	READ_SOCIETY	국제경제·무역
READ_TECH_ICT_DATA	theme	READ_TECH	데이터·DB
SPEAK_T_SOCIAL	theme	SPEAK	사회 이슈·시사
WRITE_T_SOCIAL	theme	WRITE	사회 이슈·시사
LIT_CL_FAMILY	theme	LIT_CLASSIC_PROSE	가정 갈등
LIT_CP_SATIRE	theme	LIT_CLASSIC_POETRY	풍자/현실 비판
LIT_DR_TRAGICOMIC	theme	LIT_DRAMA	비극/희극
LIT_ES_SOCIETY	theme	LIT_ESSAY	사회 관찰
LIT_MN_LABOR	theme	LIT_MODERN_NOVEL	노동/가난
LIT_MP_RESISTANCE	theme	LIT_MODERN_POETRY	사회 비판/저항
MEDIA_T_CULTURE	theme	MEDIA	문화·예술
READ_HUM_E_OTHER	theme	READ_HUMANITIES	기타 동양사상
READ_SCI_PHY_OTHER	theme	READ_SCIENCE	기타 물리
READ_SOC_ECON_THEORY	theme	READ_SOCIETY	경제이론·사상
READ_TECH_ICT_SW	theme	READ_TECH	소프트웨어
SPEAK_T_CULTURE	theme	SPEAK	문화·예술
