Test,Answered,Accuracy,Correct_Cnt,TCI,Final_Level,어휘력,문장 독해력,구조 독해력,논리 사고력,어법·문법 능력,국어 개념 적용 능력,국어 관련 배경지식,비문학 배경지식,문제 분석 및 전략 수립 능력,선택지 분석 및 전략 수립 능력
Sohssure,30,40%,12,45.95,Sohssure 2,44.5,37.0,50.5,23.5,62.5,50.0,50.0,41.5,50.0,50.0
Sohssure,30,60%,18,51.2,Sohssure 2,47.0,76.5,47.5,49.0,50.0,53.5,51.0,37.5,50.0,50.0
Sohssure,30,80%,24,58.4,Sohssure 3,66.0,76.5,54.0,71.5,57.0,57.0,53.5,48.5,50.0,50.0
Sohssure,30,100%,30,65.75,Frege 1 (Promoted),85.0,85.0,67.5,85.0,71.0,53.5,53.5,57.0,50.0,50.0
Sohssure,40,20%,8,35.4,Sohssure 1,32.0,5.5,41.0,0,51.0,57.0,47.5,20.0,50.0,50.0
Sohssure,40,40%,16,43.0,Sohssure 1,31.1,37.5,47.0,10.0,59.4,50.0,50.0,45.0,50.0,50.0
Sohssure,40,60%,24,52.4,Sohssure 2,44.5,62.5,55.5,53.0,59.0,57.0,53.5,39.0,50.0,50.0
Sohssure,40,80%,32,61.5,Sohssure 3,63.5,85.0,61.5,76.0,57.0,60.5,53.5,58.0,50.0,50.0
Sohssure,40,100%,40,68.05,Frege 1 (Promoted),78.0,100,71.0,100,57.0,64.0,53.5,57.0,50.0,50.0
Sohssure,50,20%,10,32.25,Sohssure 1 (Foundation),0,0,36.0,4.0,52.0,45.0,50.0,35.5,50.0,50.0
Sohssure,50,40%,20,41.65,Sohssure 1,17.1,39.0,48.0,25.5,48.9,57.0,50.0,31.0,50.0,50.0
Sohssure,50,60%,30,53.8,Sohssure 2,62.5,54.0,60.5,43.5,68.5,52.0,50.0,47.0,50.0,50.0
Sohssure,50,80%,40,66.3,Frege 1 (Promoted),74.0,95.5,61.0,79.5,78.0,64.0,53.5,57.5,50.0,50.0
Sohssure,50,100%,50,72.25,Frege 1 (Promoted),92.0,100,71.0,100,78.0,64.0,53.5,64.0,50.0,50.0
Sohssure,20,20%,4,43.35,Sohssure 1,49.5,33.0,45.0,18.0,64.0,45.0,50.0,29.0,50.0,50.0
