Test,Answered,Accuracy,Correct_Cnt,TCI,Final_Level,어휘력,문장 독해력,구조 독해력,논리 사고력,어법·문법 능력,국어 개념 적용 능력,국어 관련 배경지식,비문학 배경지식,문제 분석 및 전략 수립 능력,선택지 분석 및 전략 수립 능력
Russell,40,100%,40,77.85,Wittgenstein 1 (Promoted),95.5,100,53.5,99.0,100,95.5,71.0,64.0,50.0,50.0
Russell,20,20%,4,48.22,Russell 2,43.6,60.6,50.0,47.0,38.6,46.8,46.3,49.3,50.0,50.0
Russell,20,40%,8,53.64,Russell 2,42.7,78.5,48.2,46.9,60.1,48.2,60.5,51.3,50.0,50.0
Russell,20,60%,12,58.75,Russell 3,71.0,71.9,50.0,66.5,62.9,57.2,50.3,57.7,50.0,50.0
Russell,20,80%,16,65.0,Wittgenstein 1 (Promoted),64.0,74.7,49.0,69.0,99.0,73.3,57.0,64.0,50.0,50.0
Russell,20,100%,20,66.55,Wittgenstein 1 (Promoted),81.5,100,53.5,71.0,71.0,67.5,57.0,64.0,50.0,50.0
Russell,30,20%,6,46.42,Russell 2,42.1,51.5,47.5,39.4,45.5,43.0,49.6,45.6,50.0,50.0
Russell,30,40%,12,56.34,Russell 3,63.4,89.0,50.0,57.1,52.3,43.6,57.0,51.0,50.0,50.0
Russell,30,60%,18,63.78,Russell 3,47.0,94.0,53.5,75.8,85.0,81.5,52.1,48.9,50.0,50.0
Russell,30,80%,24,68.17,Wittgenstein 1 (Promoted),82.9,100,53.5,87.7,72.9,64.9,67.5,52.3,50.0,50.0
Russell,30,100%,30,74.25,Wittgenstein 1 (Promoted),81.5,100,53.5,95.5,99.0,81.5,64.0,67.5,50.0,50.0
Russell,40,20%,8,46.23,Russell 2,39.1,42.7,46.7,30.5,57.0,46.4,55.6,44.3,50.0,50.0
Russell,40,40%,16,55.84,Russell 3,71.8,84.2,51.4,65.8,35.6,45.3,45.7,58.6,50.0,50.0
Russell,40,60%,24,66.37,Wittgenstein 1 (Promoted),75.9,100,50.0,80.6,80.6,63.7,64.0,48.9,50.0,50.0
Russell,40,80%,32,71.45,Wittgenstein 1 (Promoted),82.9,100,52.3,99.0,80.5,80.4,58.0,61.4,50.0,50.0
Russell,40,100%,40,76.9,Wittgenstein 1 (Promoted),85.0,100,53.5,99.0,100,100,67.5,64.0,50.0,50.0
Russell,20,20%,4,48.1,Russell 2,40.1,38.8,52.0,44.3,59.5,52.9,48.8,44.6,50.0,50.0
Russell,20,40%,8,52.79,Russell 2,58.7,50.1,49.5,61.6,60.7,51.6,50.7,45.0,50.0,50.0
Russell,20,60%,12,58.67,Russell 3,65.4,79.6,53.5,44.3,71.0,60.5,60.5,51.9,50.0,50.0
Russell,20,80%,16,62.68,Russell 3,60.5,100,50.0,71.7,73.2,64.5,57.0,49.9,50.0,50.0
Russell,20,100%,20,67.7,Wittgenstein 1 (Promoted),64.0,100,50.0,67.5,100,78.0,64.0,53.5,50.0,50.0
Russell,30,20%,6,46.89,Russell 2,53.7,36.2,46.0,31.8,59.0,50.5,44.7,47.0,50.0,50.0
Russell,30,40%,12,55.35,Russell 3,65.4,61.6,45.2,65.0,63.4,54.3,52.2,46.4,50.0,50.0
Russell,30,60%,18,63.48,Russell 3,44.7,89.1,48.5,62.6,89.0,77.3,62.6,61.0,50.0,50.0
Russell,30,80%,24,67.56,Wittgenstein 1 (Promoted),64.5,100,50.0,66.5,92.0,78.0,67.5,57.1,50.0,50.0
Russell,30,100%,30,72.95,Wittgenstein 1 (Promoted),78.0,100,53.5,85.0,100,92.0,57.0,64.0,50.0,50.0
Russell,40,20%,8,45.15,Russell 2,48.1,15.7,48.0,40.2,54.2,52.5,46.8,46.0,50.0,50.0
Russell,40,40%,16,56.43,Russell 3,70.9,46.3,46.0,59.6,75.5,56.6,59.1,50.3,50.0,50.0
Russell,40,60%,24,66.13,Wittgenstein 1 (Promoted),59.8,100,50.0,69.8,92.6,78.4,57.0,53.7,50.0,50.0
Russell,40,80%,32,73.18,Wittgenstein 1 (Promoted),90.0,100,53.5,88.2,92.4,87.9,55.8,64.0,50.0,50.0
Russell,40,100%,40,77.7,Wittgenstein 1 (Promoted),92.0,100,50.0,100,100,100,67.5,67.5,50.0,50.0
Russell,20,20%,4,46.95,Russell 2,49.4,23.6,49.0,44.7,58.6,55.1,47.5,41.6,50.0,50.0
Russell,20,40%,8,53.46,Russell 2,63.2,63.8,47.0,52.3,54.6,49.5,55.8,48.4,50.0,50.0
Russell,20,60%,12,59.17,Russell 3,56.4,96.3,50.0,56.1,61.0,59.3,54.5,58.1,50.0,50.0
Russell,20,80%,16,64.4,Russell 3,71.0,100,50.0,65.5,75.9,73.1,57.0,51.5,50.0,50.0
Russell,20,100%,20,67.25,Wittgenstein 1 (Promoted),67.5,100,50.0,67.5,92.0,78.0,60.5,57.0,50.0,50.0
Russell,30,20%,6,46.8,Russell 2,57.5,40.7,47.2,47.0,42.8,48.1,44.7,40.0,50.0,50.0
Russell,30,40%,12,55.63,Russell 3,54.8,74.8,43.2,48.2,74.4,59.4,49.3,52.2,50.0,50.0
Russell,30,60%,18,63.06,Russell 3,56.4,100,46.7,88.6,67.5,58.8,57.0,55.6,50.0,50.0
Russell,30,80%,24,69.49,Wittgenstein 1 (Promoted),78.0,100,53.5,73.1,88.4,80.0,60.5,61.4,50.0,50.0
Russell,30,100%,30,73.2,Wittgenstein 1 (Promoted),74.5,100,50.0,95.5,92.0,95.5,64.0,60.5,50.0,50.0
Russell,40,20%,8,46.23,Russell 2,45.2,36.5,45.0,31.7,62.1,52.9,47.4,41.5,50.0,50.0
Russell,40,40%,16,55.81,Russell 3,52.6,94.8,44.7,63.4,51.5,52.0,51.0,48.1,50.0,50.0
Russell,40,60%,24,67.96,Wittgenstein 1 (Promoted),60.9,100,51.0,74.3,100,82.7,64.0,46.7,50.0,50.0
Russell,40,80%,32,72.06,Wittgenstein 1 (Promoted),82.9,100,53.5,76.2,97.5,87.5,60.5,62.5,50.0,50.0
Russell,40,100%,40,77.95,Wittgenstein 1 (Promoted),85.0,100,53.5,99.0,100,100,71.0,71.0,50.0,50.0
Wittgenstein,20,20%,4,49.17,Wittgenstein 2,51.6,55.6,48.5,45.9,45.4,46.7,51.3,46.7,50.0,50.0
Wittgenstein,20,40%,8,54.05,Wittgenstein 2,57.1,63.8,57.0,49.6,54.0,51.5,60.5,47.0,50.0,50.0
Wittgenstein,20,60%,12,60.42,Wittgenstein 3,60.7,80.9,50.0,47.2,82.9,66.1,71.0,45.4,50.0,50.0
Wittgenstein,20,80%,16,65.01,Wittgenstein 3 (Mastery),64.0,88.5,64.0,64.8,76.5,63.0,74.5,54.8,50.0,50.0
Wittgenstein,20,100%,20,71.0,Wittgenstein 3 (Mastery),67.5,92.0,57.0,92.0,85.0,67.5,71.0,78.0,50.0,50.0
Wittgenstein,30,20%,6,49.07,Wittgenstein 2,48.4,48.7,48.8,46.2,52.8,49.2,43.3,53.3,50.0,50.0
Wittgenstein,30,40%,12,56.53,Wittgenstein 3,66.0,82.5,47.6,42.9,57.4,52.1,66.8,50.0,50.0,50.0
Wittgenstein,30,60%,18,65.23,Wittgenstein 3 (Mastery),78.0,90.1,62.8,72.9,66.7,56.1,63.0,62.7,50.0,50.0
Wittgenstein,30,80%,24,72.82,Wittgenstein 3 (Mastery),81.5,100,57.0,85.8,92.0,71.0,69.8,71.1,50.0,50.0
Wittgenstein,30,100%,30,77.05,Wittgenstein 3 (Mastery),78.0,100,57.0,99.0,99.0,74.5,81.5,81.5,50.0,50.0
Wittgenstein,40,20%,8,49.0,Wittgenstein 2,55.7,47.0,47.4,35.6,58.2,51.3,48.2,46.6,50.0,50.0
Wittgenstein,40,40%,16,58.95,Wittgenstein 3,52.1,78.4,57.0,59.5,60.2,53.3,60.8,68.2,50.0,50.0
Wittgenstein,40,60%,24,70.22,Wittgenstein 3 (Mastery),88.8,98.3,64.0,78.1,84.5,65.3,58.4,64.8,50.0,50.0
Wittgenstein,40,80%,32,76.18,Wittgenstein 3 (Mastery),89.1,100,57.0,100,89.0,69.0,70.6,87.1,50.0,50.0
Wittgenstein,40,100%,40,82.5,Wittgenstein 3 (Mastery),88.5,100,64.0,100,100,85.0,88.5,99.0,50.0,50.0
Wittgenstein,20,20%,4,49.5,Wittgenstein 2,48.6,55.3,50.0,44.7,50.4,48.6,48.6,48.8,50.0,50.0
Wittgenstein,20,40%,8,54.77,Wittgenstein 2,62.6,76.0,50.0,40.3,58.6,53.4,58.4,48.4,50.0,50.0
Wittgenstein,20,60%,12,60.18,Wittgenstein 3,52.0,73.4,64.0,63.5,69.2,59.3,70.0,50.4,50.0,50.0
Wittgenstein,20,80%,16,65.7,Wittgenstein 3 (Mastery),71.0,83.5,50.0,85.2,76.2,62.8,60.5,67.8,50.0,50.0
Wittgenstein,20,100%,20,70.75,Wittgenstein 3 (Mastery),85.0,100,64.0,81.5,78.0,64.0,64.0,71.0,50.0,50.0
Wittgenstein,30,20%,6,48.32,Wittgenstein 2,48.1,38.2,50.0,48.7,54.6,49.9,43.7,50.0,50.0,50.0
Wittgenstein,30,40%,12,56.91,Wittgenstein 3,67.0,61.0,46.2,58.9,65.4,56.6,55.5,58.5,50.0,50.0
Wittgenstein,30,60%,18,65.0,Wittgenstein 3 (Mastery),62.6,99.2,57.0,83.6,56.5,51.8,55.4,83.9,50.0,50.0
Wittgenstein,30,80%,24,71.87,Wittgenstein 3 (Mastery),67.7,100,55.5,85.5,89.9,69.6,77.0,73.5,50.0,50.0
Wittgenstein,30,100%,30,76.8,Wittgenstein 3 (Mastery),88.5,100,57.0,88.5,100,78.0,81.5,74.5,50.0,50.0
Wittgenstein,40,20%,8,48.36,Wittgenstein 2,37.7,19.8,48.6,55.0,71.6,58.4,43.7,48.8,50.0,50.0
Wittgenstein,40,40%,16,59.46,Wittgenstein 3,53.6,69.0,55.2,58.0,74.2,60.3,65.2,59.1,50.0,50.0
Wittgenstein,40,60%,24,68.67,Wittgenstein 3 (Mastery),64.2,59.0,62.8,89.1,100,77.0,67.5,67.1,50.0,50.0
Wittgenstein,40,80%,32,76.21,Wittgenstein 3 (Mastery),87.0,100,55.6,77.1,100,78.4,81.5,82.5,50.0,50.0
Wittgenstein,40,100%,40,82.85,Wittgenstein 3 (Mastery),95.5,100,64.0,100,100,85.0,92.0,92.0,50.0,50.0
Wittgenstein,20,20%,4,49.33,Wittgenstein 2,45.0,54.7,47.6,46.4,51.9,49.6,47.6,50.5,50.0,50.0
Wittgenstein,20,40%,8,54.05,Wittgenstein 2,50.5,65.0,50.0,56.8,55.5,52.5,61.9,48.3,50.0,50.0
Wittgenstein,20,60%,12,60.11,Wittgenstein 3,69.5,82.0,55.5,64.2,57.4,52.2,63.0,57.3,50.0,50.0
Wittgenstein,20,80%,16,65.9,Wittgenstein 3 (Mastery),64.0,62.1,55.8,94.5,85.0,67.5,59.1,71.0,50.0,50.0
Wittgenstein,20,100%,20,70.05,Wittgenstein 3 (Mastery),81.5,100,50.0,88.5,73.1,61.9,67.5,78.0,50.0,50.0
Wittgenstein,30,20%,6,49.22,Wittgenstein 2,48.4,48.7,47.3,45.8,54.4,50.6,51.5,45.5,50.0,50.0
Wittgenstein,30,40%,12,56.81,Wittgenstein 3,58.0,89.0,48.2,52.6,61.6,53.4,50.6,54.7,50.0,50.0
Wittgenstein,30,60%,18,64.83,Wittgenstein 3,85.0,63.4,61.4,67.5,89.9,69.6,59.9,51.6,50.0,50.0
Wittgenstein,30,80%,24,72.38,Wittgenstein 3 (Mastery),69.2,96.3,55.5,100,90.5,70.0,66.5,75.8,50.0,50.0
Wittgenstein,30,100%,30,77.4,Wittgenstein 3 (Mastery),92.0,100,64.0,99.0,85.0,67.5,81.5,85.0,50.0,50.0
Wittgenstein,40,20%,8,48.2,Wittgenstein 2,55.7,27.5,55.6,38.5,58.6,52.0,53.3,40.8,50.0,50.0
Wittgenstein,40,40%,16,59.4,Wittgenstein 3,45.4,58.7,57.0,93.2,51.5,48.0,66.5,73.7,50.0,50.0
Wittgenstein,40,60%,24,68.65,Wittgenstein 3 (Mastery),57.2,100,55.2,84.6,84.4,65.6,67.7,71.8,50.0,50.0
Wittgenstein,40,80%,32,77.65,Wittgenstein 3 (Mastery),95.5,100,55.6,89.6,100,75.3,78.0,82.5,50.0,50.0
Wittgenstein,40,100%,40,81.94,Wittgenstein 3 (Mastery),95.5,100,57.0,100,100,89.9,92.0,85.0,50.0,50.0
Wittgenstein,20,20%,4,49.11,Wittgenstein 2,44.9,34.8,48.6,49.7,65.4,56.6,43.6,47.5,50.0,50.0
Wittgenstein,20,40%,8,54.29,Wittgenstein 2,65.4,55.4,48.6,52.7,59.8,54.2,57.1,49.7,50.0,50.0
Wittgenstein,20,60%,12,60.23,Wittgenstein 3,68.9,75.0,57.0,78.2,50.1,48.9,50.7,73.5,50.0,50.0
Wittgenstein,20,80%,16,65.73,Wittgenstein 3 (Mastery),81.5,93.5,50.0,92.0,52.8,50.5,66.0,71.0,50.0,50.0
Wittgenstein,20,100%,20,68.3,Wittgenstein 3 (Mastery),64.0,81.5,50.0,100,80.1,65.4,57.0,85.0,50.0,50.0
Wittgenstein,30,20%,6,48.91,Wittgenstein 2,47.2,53.8,50.0,51.4,43.6,44.2,49.1,49.8,50.0,50.0
Wittgenstein,30,40%,12,56.72,Wittgenstein 3,50.1,60.6,62.8,60.1,59.9,53.1,55.2,65.4,50.0,50.0
Wittgenstein,30,60%,18,64.57,Wittgenstein 3,60.1,83.5,48.6,72.4,90.8,70.2,56.4,63.7,50.0,50.0
Wittgenstein,30,80%,24,71.58,Wittgenstein 3 (Mastery),70.9,100,48.5,80.5,99.3,74.7,72.3,69.6,50.0,50.0
Wittgenstein,30,100%,30,77.4,Wittgenstein 3 (Mastery),81.5,100,57.0,95.5,99.0,74.5,81.5,85.0,50.0,50.0
Wittgenstein,40,20%,8,48.29,Wittgenstein 2,52.1,57.1,48.6,36.4,38.8,40.7,57.1,52.1,50.0,50.0
Wittgenstein,40,40%,16,59.66,Wittgenstein 3,62.1,78.3,64.0,47.6,67.8,56.7,70.3,49.8,50.0,50.0
Wittgenstein,40,60%,24,69.05,Wittgenstein 3 (Mastery),63.8,89.7,64.0,81.8,88.7,68.8,60.9,72.8,50.0,50.0
Wittgenstein,40,80%,32,78.37,Wittgenstein 3 (Mastery),95.5,100,53.4,100,95.8,72.2,79.7,87.1,50.0,50.0
Wittgenstein,40,100%,40,82.29,Wittgenstein 3 (Mastery),92.0,100,64.0,100,100,79.4,88.5,99.0,50.0,50.0
Wittgenstein,20,20%,4,49.65,Wittgenstein 2,52.2,40.8,46.7,65.5,44.6,46.4,44.4,55.9,50.0,50.0
Wittgenstein,20,40%,8,54.73,Wittgenstein 2,55.2,56.1,48.2,65.3,62.2,55.8,45.9,58.6,50.0,50.0
Wittgenstein,20,60%,12,60.6,Wittgenstein 3,63.9,68.7,50.0,63.8,71.0,60.5,61.6,66.5,50.0,50.0
Wittgenstein,20,80%,16,64.8,Wittgenstein 3,57.0,86.4,48.2,61.0,100,75.9,62.8,56.7,50.0,50.0
Wittgenstein,20,100%,20,69.35,Wittgenstein 3 (Mastery),60.5,100,57.0,85.0,71.0,60.5,88.5,71.0,50.0,50.0
Wittgenstein,30,20%,6,48.85,Wittgenstein 2,39.6,44.8,55.6,60.9,38.7,42.3,55.0,51.6,50.0,50.0
Wittgenstein,30,40%,12,57.06,Wittgenstein 3,65.9,55.8,57.0,61.4,64.3,55.8,57.1,53.3,50.0,50.0
Wittgenstein,30,60%,18,65.08,Wittgenstein 3 (Mastery),74.5,61.7,64.0,74.4,90.5,70.0,58.7,57.0,50.0,50.0
Wittgenstein,30,80%,24,71.73,Wittgenstein 3 (Mastery),79.7,100,50.0,81.7,88.4,68.6,76.6,72.3,50.0,50.0
Wittgenstein,30,100%,30,77.5,Wittgenstein 3 (Mastery),88.5,100,64.0,100,87.1,68.9,81.5,85.0,50.0,50.0
Wittgenstein,40,20%,8,48.49,Wittgenstein 2,50.3,49.6,46.8,30.3,59.5,52.1,63.9,32.4,50.0,50.0
Wittgenstein,40,40%,16,59.84,Wittgenstein 3,65.1,62.7,52.6,76.4,69.8,58.1,54.4,59.3,50.0,50.0
Wittgenstein,40,60%,24,70.21,Wittgenstein 3 (Mastery),50.2,88.8,55.6,100,93.9,70.6,61.8,81.2,50.0,50.0
Wittgenstein,40,80%,32,76.26,Wittgenstein 3 (Mastery),90.6,100,50.0,100,97.2,73.3,69.7,81.8,50.0,50.0
Wittgenstein,40,100%,40,82.64,Wittgenstein 3 (Mastery),95.5,100,64.0,100,100,79.4,99.0,88.5,50.0,50.0
